station,time,temperature,temperature_qc,depth
,UTC,celsius,1,m
B01,2019-01-01T00:00:00Z,6.3534,0,20.0
B01,2019-01-01T00:30:00Z,6.3571,0,20.0
B01,2019-01-01T01:00:00Z,6.3475,0,20.0
B01,2019-01-01T01:30:00Z,6.3659,0,20.0
B01,2019-01-01T02:00:00Z,6.1336,0,20.0
B01,2019-01-01T02:30:00Z,6.246,0,20.0
B01,2019-01-01T03:00:00Z,6.1234,0,20.0
B01,2019-01-01T03:30:00Z,6.3388,0,20.0
B01,2019-01-01T04:00:00Z,6.1732,0,20.0
B01,2019-01-01T04:30:00Z,6.1165,0,20.0
B01,2019-01-01T05:00:00Z,6.1075,0,20.0
B01,2019-01-01T05:30:00Z,6.1067,0,20.0
B01,2019-01-01T06:00:00Z,6.1683,0,20.0
B01,2019-01-01T06:30:00Z,6.1601,0,20.0
B01,2019-01-01T07:00:00Z,6.1243,0,20.0
B01,2019-01-01T07:30:00Z,6.2413,0,20.0
B01,2019-01-01T08:00:00Z,6.18,0,20.0
B01,2019-01-01T08:30:00Z,6.2149,0,20.0
B01,2019-01-01T09:00:00Z,6.2155,0,20.0
B01,2019-01-01T09:30:00Z,6.2472,0,20.0
B01,2019-01-01T10:00:00Z,6.2309,0,20.0
B01,2019-01-01T10:30:00Z,6.2302,0,20.0
B01,2019-01-01T11:00:00Z,6.2435,0,20.0
B01,2019-01-01T11:30:00Z,6.2684,0,20.0
B01,2019-01-01T12:00:00Z,6.2672,0,20.0
B01,2019-01-01T12:30:00Z,6.2761,0,20.0
B01,2019-01-01T13:00:00Z,6.2808,0,20.0
B01,2019-01-01T13:30:00Z,6.2899,0,20.0
B01,2019-01-01T14:00:00Z,6.2899,0,20.0
B01,2019-01-01T14:30:00Z,6.2968,0,20.0
B01,2019-01-01T15:00:00Z,6.3008,0,20.0
B01,2019-01-01T15:30:00Z,6.3964,0,20.0
B01,2019-01-01T16:00:00Z,6.3578,0,20.0
B01,2019-01-01T16:30:00Z,6.3981,0,20.0
B01,2019-01-01T17:00:00Z,6.5573,0,20.0
B01,2019-01-01T17:30:00Z,6.5413,0,20.0
B01,2019-01-01T18:00:00Z,6.5296,0,20.0
B01,2019-01-01T18:30:00Z,6.517,0,20.0
B01,2019-01-01T19:00:00Z,6.5189,0,20.0
B01,2019-01-01T19:30:00Z,6.5199,0,20.0
B01,2019-01-01T20:00:00Z,6.5422,0,20.0
B01,2019-01-01T20:30:00Z,6.4908,0,20.0
B01,2019-01-01T21:00:00Z,6.5434,0,20.0
B01,2019-01-01T21:30:00Z,6.5397,0,20.0
B01,2019-01-01T22:00:00Z,6.6038,0,20.0
B01,2019-01-01T22:30:00Z,6.5575,0,20.0
B01,2019-01-01T23:00:00Z,6.5207,0,20.0
B01,2019-01-01T23:30:00Z,6.5302,0,20.0
B01,2019-01-02T00:00:00Z,6.5093,0,20.0
B01,2019-01-02T00:30:00Z,6.5096,0,20.0
B01,2019-01-02T01:00:00Z,6.5133,0,20.0
B01,2019-01-02T01:30:00Z,6.4806,0,20.0
B01,2019-01-02T02:00:00Z,6.5234,0,20.0
B01,2019-01-02T02:30:00Z,6.526,0,20.0
B01,2019-01-02T03:00:00Z,6.5218,0,20.0
B01,2019-01-02T03:30:00Z,6.5236,0,20.0
B01,2019-01-02T04:00:00Z,6.5473,0,20.0
B01,2019-01-02T04:30:00Z,6.5226,0,20.0
B01,2019-01-02T05:00:00Z,6.493,0,20.0
B01,2019-01-02T05:30:00Z,6.4875,0,20.0
B01,2019-01-02T06:00:00Z,6.5119,0,20.0
B01,2019-01-02T06:30:00Z,6.5144,0,20.0
B01,2019-01-02T07:00:00Z,6.4883,0,20.0
B01,2019-01-02T07:30:00Z,6.4628,0,20.0
B01,2019-01-02T08:00:00Z,6.5279,0,20.0
B01,2019-01-02T08:30:00Z,6.5077,0,20.0
B01,2019-01-02T09:00:00Z,6.5146,0,20.0
B01,2019-01-02T09:30:00Z,6.5233,0,20.0
B01,2019-01-02T10:00:00Z,6.5176,0,20.0
B01,2019-01-02T10:30:00Z,6.4841,0,20.0
B01,2019-01-02T11:00:00Z,6.4972,0,20.0
B01,2019-01-02T11:30:00Z,6.498,0,20.0
B01,2019-01-02T12:00:00Z,6.5118,0,20.0
B01,2019-01-02T12:30:00Z,6.4957,0,20.0
B01,2019-01-02T13:00:00Z,6.4989,0,20.0
B01,2019-01-02T13:30:00Z,6.4988,0,20.0
B01,2019-01-02T14:00:00Z,6.4931,0,20.0
B01,2019-01-02T14:30:00Z,6.4995,0,20.0
B01,2019-01-02T15:00:00Z,6.5206,0,20.0
B01,2019-01-02T15:30:00Z,6.4789,0,20.0
B01,2019-01-02T16:00:00Z,6.499,0,20.0
B01,2019-01-02T16:30:00Z,6.4842,0,20.0
B01,2019-01-02T17:00:00Z,6.4856,0,20.0
B01,2019-01-02T17:30:00Z,6.4819,0,20.0
B01,2019-01-02T18:00:00Z,6.4741,0,20.0
B01,2019-01-02T18:30:00Z,6.4815,0,20.0
B01,2019-01-02T19:00:00Z,6.4898,0,20.0
B01,2019-01-02T19:30:00Z,6.4838,0,20.0
B01,2019-01-02T20:00:00Z,6.4773,0,20.0
