station,time,conductivity,temperature,salinity,longitude,latitude,depth
,UTC,msiemens/cm,celsius,psu,degrees_east,degrees_north,m
A01,2019-01-01T00:00:00Z,32.2898,6.3536,32.32459,-70.56606,42.518253,1.0
A01,2019-01-01T00:30:00Z,32.3805,6.4057,32.37565,-70.56606,42.518253,1.0
A01,2019-01-01T01:00:00Z,32.4413,6.445,32.405632,-70.56606,42.518253,1.0
A01,2019-01-01T01:30:00Z,32.4928,6.4763,32.43287,-70.56606,42.518253,1.0
A01,2019-01-01T02:00:00Z,32.5344,6.5,32.456337,-70.56606,42.518253,1.0
A01,2019-01-01T02:30:00Z,32.5591,6.5186,32.46595,-70.56606,42.518253,1.0
A01,2019-01-01T03:00:00Z,32.5807,6.5378,32.471558,-70.56606,42.518253,1.0
A01,2019-01-01T03:30:00Z,32.6203,6.5657,32.488758,-70.56606,42.518253,1.0
A01,2019-01-01T04:00:00Z,32.6553,6.5947,32.499805,-70.56606,42.518253,1.0
A01,2019-01-01T04:30:00Z,32.6728,6.6125,32.502182,-70.56606,42.518253,1.0
A01,2019-01-01T05:00:00Z,32.7231,6.6569,32.51542,-70.56606,42.518253,1.0
A01,2019-01-01T05:30:00Z,32.7587,6.6847,32.528202,-70.56606,42.518253,1.0
A01,2019-01-01T06:00:00Z,32.8049,6.7257,32.540077,-70.56606,42.518253,1.0
A01,2019-01-01T06:30:00Z,32.7505,6.6908,32.513382,-70.56606,42.518253,1.0
A01,2019-01-01T07:00:00Z,32.6913,6.6477,32.489132,-70.56606,42.518253,1.0
A01,2019-01-01T07:30:00Z,32.2875,6.6423,32.04984,-70.56606,42.518253,1.0
A01,2019-01-01T08:00:00Z,32.6511,6.6274,32.464115,-70.56606,42.518253,1.0
A01,2019-01-01T08:30:00Z,32.6202,6.6039,32.45236,-70.56606,42.518253,1.0
A01,2019-01-01T09:00:00Z,32.5872,6.5824,32.43637,-70.56606,42.518253,1.0
A01,2019-01-01T09:30:00Z,32.5826,6.5849,32.428925,-70.56606,42.518253,1.0
A01,2019-01-01T10:00:00Z,32.5695,6.5783,32.420734,-70.56606,42.518253,1.0
A01,2019-01-01T10:30:00Z,32.5597,6.5768,32.41135,-70.56606,42.518253,1.0
A01,2019-01-01T11:00:00Z,32.564,6.5781,32.41486,-70.56606,42.518253,1.0
A01,2019-01-01T11:30:00Z,32.5489,6.5694,32.406452,-70.56606,42.518253,1.0
A01,2019-01-01T12:00:00Z,32.5473,6.5695,32.40459,-70.56606,42.518253,1.0
A01,2019-01-01T12:30:00Z,32.5588,6.5786,32.40865,-70.56606,42.518253,1.0
A01,2019-01-01T13:00:00Z,32.5715,6.5843,32.41725,-70.56606,42.518253,1.0
A01,2019-01-01T13:30:00Z,32.5708,6.5815,32.419136,-70.56606,42.518253,1.0
A01,2019-01-01T14:00:00Z,32.5752,6.5837,32.4219,-70.56606,42.518253,1.0
A01,2019-01-01T14:30:00Z,32.5873,6.5935,32.42595,-70.56606,42.518253,1.0
A01,2019-01-01T15:00:00Z,32.609,6.6052,32.438778,-70.56606,42.518253,1.0
A01,2019-01-01T15:30:00Z,32.6485,6.6361,32.452995,-70.56606,42.518253,1.0
A01,2019-01-01T16:00:00Z,32.6844,6.6621,32.46787,-70.56606,42.518253,1.0
A01,2019-01-01T16:30:00Z,32.7588,6.7097,32.504574,-70.56606,42.518253,1.0
A01,2019-01-01T17:00:00Z,32.7906,6.7415,32.50936,-70.56606,42.518253,1.0
A01,2019-01-01T17:30:00Z,32.8244,6.7635,32.525623,-70.56606,42.518253,1.0
A01,2019-01-01T18:00:00Z,32.8272,6.7628,32.529366,-70.56606,42.518253,1.0
A01,2019-01-01T18:30:00Z,32.8251,6.767,32.52307,-70.56606,42.518253,1.0
A01,2019-01-01T19:00:00Z,32.8382,6.782,32.52323,-70.56606,42.518253,1.0
A01,2019-01-01T19:30:00Z,32.852,6.7816,32.53876,-70.56606,42.518253,1.0
A01,2019-01-01T20:00:00Z,32.8738,6.7974,32.5477,-70.56606,42.518253,1.0
A01,2019-01-01T20:30:00Z,32.8725,6.7959,32.547695,-70.56606,42.518253,1.0
A01,2019-01-01T21:00:00Z,32.8579,6.7884,32.538784,-70.56606,42.518253,1.0
A01,2019-01-01T21:30:00Z,32.8476,6.7785,32.53687,-70.56606,42.518253,1.0
A01,2019-01-01T22:00:00Z,32.8353,6.7668,32.534466,-70.56606,42.518253,1.0
A01,2019-01-01T22:30:00Z,32.7891,6.7328,32.515965,-70.56606,42.518253,1.0
A01,2019-01-01T23:00:00Z,32.7599,6.7174,32.498478,-70.56606,42.518253,1.0
A01,2019-01-01T23:30:00Z,32.7617,6.7213,32.496758,-70.56606,42.518253,1.0
A01,2019-01-02T00:00:00Z,32.7612,6.7177,32.499622,-70.56606,42.518253,1.0
A01,2019-01-02T00:30:00Z,32.7436,6.6993,32.497723,-70.56606,42.518253,1.0
A01,2019-01-02T01:00:00Z,32.7402,6.7009,32.492466,-70.56606,42.518253,1.0
A01,2019-01-02T01:30:00Z,32.7524,6.7101,32.497154,-70.56606,42.518253,1.0
A01,2019-01-02T02:00:00Z,32.7533,6.7024,32.50545,-70.56606,42.518253,1.0
A01,2019-01-02T02:30:00Z,32.7592,6.7098,32.504917,-70.56606,42.518253,1.0
A01,2019-01-02T03:00:00Z,32.7311,6.6914,32.491467,-70.56606,42.518253,1.0
