station,time,conductivity,temperature,salinity,longitude,latitude,depth
,UTC,msiemens/cm,celsius,psu,degrees_east,degrees_north,m
B01,2019-01-01T00:00:00Z,32.0527,5.9875,32.40938,-70.4277,43.18065,1.0
B01,2019-01-01T00:30:00Z,32.0417,5.9786,32.405582,-70.4277,43.18065,1.0
B01,2019-01-01T01:00:00Z,32.0533,5.9901,32.407562,-70.4277,43.18065,1.0
B01,2019-01-01T01:30:00Z,32.0853,6.0202,32.41457,-70.4277,43.18065,1.0
B01,2019-01-01T02:00:00Z,32.0853,6.0203,32.414474,-70.4277,43.18065,1.0
B01,2019-01-01T02:30:00Z,32.0635,6.0025,32.407112,-70.4277,43.18065,1.0
B01,2019-01-01T03:00:00Z,32.0428,5.9843,32.401356,-70.4277,43.18065,1.0
B01,2019-01-01T03:30:00Z,32.0966,6.0366,32.41152,-70.4277,43.18065,1.0
B01,2019-01-01T04:00:00Z,32.1147,6.0527,32.416355,-70.4277,43.18065,1.0
B01,2019-01-01T04:30:00Z,32.1115,6.0497,32.415646,-70.4277,43.18065,1.0
B01,2019-01-01T05:00:00Z,32.1175,6.0577,32.4147,-70.4277,43.18065,1.0
B01,2019-01-01T05:30:00Z,32.1484,6.0903,32.418053,-70.4277,43.18065,1.0
B01,2019-01-01T06:00:00Z,32.1748,6.111,32.427742,-70.4277,43.18065,1.0
B01,2019-01-01T06:30:00Z,32.1937,6.1335,32.427326,-70.4277,43.18065,1.0
B01,2019-01-01T07:00:00Z,32.1894,6.1263,32.429413,-70.4277,43.18065,1.0
B01,2019-01-01T07:30:00Z,32.2342,6.1695,32.438095,-70.4277,43.18065,1.0
B01,2019-01-01T08:00:00Z,32.2507,6.1825,32.444065,-70.4277,43.18065,1.0
B01,2019-01-01T08:30:00Z,32.2557,6.1974,32.435402,-70.4277,43.18065,1.0
B01,2019-01-01T09:00:00Z,32.2665,6.2016,32.443424,-70.4277,43.18065,1.0
B01,2019-01-01T09:30:00Z,32.2724,6.208,32.443882,-70.4277,43.18065,1.0
B01,2019-01-01T10:00:00Z,32.2904,6.2208,32.451702,-70.4277,43.18065,1.0
B01,2019-01-01T10:30:00Z,32.2954,6.2239,32.454308,-70.4277,43.18065,1.0
B01,2019-01-01T11:00:00Z,32.3169,6.2433,32.45971,-70.4277,43.18065,1.0
B01,2019-01-01T11:30:00Z,32.3305,6.2557,32.463,-70.4277,43.18065,1.0
B01,2019-01-01T12:00:00Z,32.347,6.2689,32.46875,-70.4277,43.18065,1.0
B01,2019-01-01T12:30:00Z,32.3636,6.2837,32.473076,-70.4277,43.18065,1.0
B01,2019-01-01T13:00:00Z,32.3614,6.2806,32.47359,-70.4277,43.18065,1.0
B01,2019-01-01T13:30:00Z,32.3728,6.2914,32.475952,-70.4277,43.18065,1.0
B01,2019-01-01T14:00:00Z,32.3766,6.2964,32.475403,-70.4277,43.18065,1.0
B01,2019-01-01T14:30:00Z,32.3846,6.3064,32.474747,-70.4277,43.18065,1.0
B01,2019-01-01T15:00:00Z,32.4073,6.3286,32.478775,-70.4277,43.18065,1.0
B01,2019-01-01T15:30:00Z,32.4289,6.35,32.482338,-70.4277,43.18065,1.0
B01,2019-01-01T16:00:00Z,32.4445,6.3637,32.48658,-70.4277,43.18065,1.0
B01,2019-01-01T16:30:00Z,32.4708,6.3905,32.49019,-70.4277,43.18065,1.0
B01,2019-01-01T17:00:00Z,32.5013,6.414,32.501587,-70.4277,43.18065,1.0
B01,2019-01-01T17:30:00Z,32.5049,6.4166,32.503098,-70.4277,43.18065,1.0
B01,2019-01-01T18:00:00Z,32.5162,6.4249,32.5077,-70.4277,43.18065,1.0
B01,2019-01-01T18:30:00Z,32.5404,6.4418,32.518394,-70.4277,43.18065,1.0
B01,2019-01-01T19:00:00Z,32.5719,6.4609,32.535053,-70.4277,43.18065,1.0
B01,2019-01-01T19:30:00Z,32.5676,6.4623,32.528957,-70.4277,43.18065,1.0
B01,2019-01-01T20:00:00Z,32.5936,6.4841,32.536945,-70.4277,43.18065,1.0
B01,2019-01-01T20:30:00Z,32.5962,6.4884,32.53572,-70.4277,43.18065,1.0
B01,2019-01-01T21:00:00Z,32.5776,6.4726,32.530205,-70.4277,43.18065,1.0
B01,2019-01-01T21:30:00Z,32.6067,6.4981,32.538086,-70.4277,43.18065,1.0
B01,2019-01-01T22:00:00Z,32.638,6.5263,32.54581,-70.4277,43.18065,1.0
B01,2019-01-01T22:30:00Z,32.6035,6.4942,32.538265,-70.4277,43.18065,1.0
B01,2019-01-01T23:00:00Z,32.5992,6.489,32.538467,-70.4277,43.18065,1.0
B01,2019-01-01T23:30:00Z,32.6155,6.5011,32.54496,-70.4277,43.18065,1.0
B01,2019-01-02T00:00:00Z,32.5878,6.4747,32.53949,-70.4277,43.18065,1.0
B01,2019-01-02T00:30:00Z,32.5922,6.4815,32.537872,-70.4277,43.18065,1.0
B01,2019-01-02T01:00:00Z,32.6211,6.504,32.548386,-70.4277,43.18065,1.0
B01,2019-01-02T01:30:00Z,32.5825,6.4687,32.53935,-70.4277,43.18065,1.0
B01,2019-01-02T02:00:00Z,32.5999,6.4827,32.54525,-70.4277,43.18065,1.0
B01,2019-01-02T02:30:00Z,32.6035,6.4776,32.554096,-70.4277,43.18065,1.0
B01,2019-01-02T03:00:00Z,32.6015,6.4842,32.54559,-70.4277,43.18065,1.0
B01,2019-01-02T03:30:00Z,32.6075,6.4893,32.547363,-70.4277,43.18065,1.0
B01,2019-01-02T04:00:00Z,32.6149,6.4975,32.547726,-70.4277,43.18065,1.0
B01,2019-01-02T04:30:00Z,32.6126,6.4922,32.55024,-70.4277,43.18065,1.0
B01,2019-01-02T05:00:00Z,32.5881,6.4666,32.54755,-70.4277,43.18065,1.0
B01,2019-01-02T05:30:00Z,32.5976,6.4794,32.545853,-70.4277,43.18065,1.0
B01,2019-01-02T06:00:00Z,32.6023,6.4841,32.54657,-70.4277,43.18065,1.0
B01,2019-01-02T06:30:00Z,32.6086,6.4866,32.551155,-70.4277,43.18065,1.0
B01,2019-01-02T07:00:00Z,32.5822,6.4535,32.553516,-70.4277,43.18065,1.0
B01,2019-01-02T07:30:00Z,32.5683,6.4332,32.557503,-70.4277,43.18065,1.0
B01,2019-01-02T08:00:00Z,32.631,6.5026,32.56067,-70.4277,43.18065,1.0
B01,2019-01-02T08:30:00Z,32.6269,6.4939,32.564434,-70.4277,43.18065,1.0
