station,time,conductivity,temperature,salinity,longitude,latitude,depth
,UTC,msiemens/cm,celsius,psu,degrees_east,degrees_north,m
F01,2019-01-01T00:00:00Z,31.0571,5.0897,32.13507,-68.99672,44.0556,20.0
F01,2019-01-01T00:30:00Z,31.1252,5.1157,32.18795,-68.99672,44.0556,20.0
F01,2019-01-01T01:00:00Z,31.2527,5.1449,32.305614,-68.99672,44.0556,20.0
F01,2019-01-01T01:30:00Z,31.3734,5.2248,32.366222,-68.99672,44.0556,20.0
F01,2019-01-01T02:00:00Z,31.286,5.1755,32.314087,-68.99672,44.0556,20.0
F01,2019-01-01T02:30:00Z,31.3035,5.1942,32.315994,-68.99672,44.0556,20.0
F01,2019-01-01T03:00:00Z,31.2577,5.1768,32.280483,-68.99672,44.0556,20.0
F01,2019-01-01T03:30:00Z,31.2445,5.1916,32.251106,-68.99672,44.0556,20.0
F01,2019-01-01T04:00:00Z,31.3217,5.1849,32.345795,-68.99672,44.0556,20.0
F01,2019-01-01T04:30:00Z,31.3646,5.2398,32.341663,-68.99672,44.0556,20.0
F01,2019-01-01T05:00:00Z,31.3766,5.241,32.3542,-68.99672,44.0556,20.0
F01,2019-01-01T05:30:00Z,31.2949,5.2328,32.268883,-68.99672,44.0556,20.0
F01,2019-01-01T06:00:00Z,31.3335,5.243,32.303078,-68.99672,44.0556,20.0
F01,2019-01-01T06:30:00Z,31.2312,5.2285,32.200344,-68.99672,44.0556,20.0
F01,2019-01-01T07:00:00Z,31.2303,5.2272,32.20057,-68.99672,44.0556,20.0
F01,2019-01-01T07:30:00Z,31.269,5.235,32.237206,-68.99672,44.0556,20.0
F01,2019-01-01T08:00:00Z,31.3062,5.2381,32.27666,-68.99672,44.0556,20.0
F01,2019-01-01T08:30:00Z,31.3012,5.2546,32.255035,-68.99672,44.0556,20.0
F01,2019-01-01T09:00:00Z,31.2705,5.2574,32.21733,-68.99672,44.0556,20.0
F01,2019-01-01T09:30:00Z,30.9676,5.1194,32.00413,-68.99672,44.0556,20.0
F01,2019-01-01T10:00:00Z,30.2536,4.7952,31.494476,-68.99672,44.0556,20.0
F01,2019-01-01T10:30:00Z,30.2542,4.7948,31.495546,-68.99672,44.0556,20.0
F01,2019-01-01T11:00:00Z,30.3003,4.8133,31.531021,-68.99672,44.0556,20.0
F01,2019-01-01T11:30:00Z,30.4891,4.8983,31.667171,-68.99672,44.0556,20.0
F01,2019-01-01T12:00:00Z,30.512,4.95,31.644253,-68.99672,44.0556,20.0
F01,2019-01-01T12:30:00Z,30.5187,4.9048,31.694967,-68.99672,44.0556,20.0
F01,2019-01-01T13:00:00Z,30.7045,4.9665,31.849289,-68.99672,44.0556,20.0
F01,2019-01-01T13:30:00Z,30.8576,5.046,31.948637,-68.99672,44.0556,20.0
F01,2019-01-01T14:00:00Z,30.6748,4.9921,31.79077,-68.99672,44.0556,20.0
F01,2019-01-01T14:30:00Z,31.3452,5.2823,32.278484,-68.99672,44.0556,20.0
F01,2019-01-01T15:00:00Z,31.2427,5.2264,32.21549,-68.99672,44.0556,20.0
F01,2019-01-01T15:30:00Z,31.0453,5.1167,32.095577,-68.99672,44.0556,20.0
