"mri","vessel.reg.no","state.land","port.land","species.itis","landed.weight","live.weight","date.sold","permit","vessel","vtr","date","species"
112,"974944","MA","Chatham",164730,15,15,2019-05-02,"311684","V8","31168419050208",2019-05-02,"RED HAKE"
112,"974944","MA","Chatham",164791,80,80,2019-05-02,"311684","V8","31168419050208",2019-05-02,"SILVER HAKE"
112,"974944","MA","Chatham",172905,280,280,2019-05-02,"311684","V8","31168419050208",2019-05-02,"WINTER FLOUNDER"
112,"974944","MA","Chatham",167687,15,15,2019-05-02,"311684","V8","31168419050208",2019-05-02,"BLACK SEA BASS"
112,"974944","MA","Chatham",169182,50,50,2019-05-02,"311684","V8","31168419050208",2019-05-02,"SCUP"
112,"974944","MA","Chatham",172735,15,15,2019-05-02,"311684","V8","31168419050208",2019-05-02,"SUMMER FLOUNDER"
112,"974944","MA","Chatham",170479,15,15,2019-05-02,"311684","V8","31168419050208",2019-05-02,"TAUTOG"
112,"974944","MA","Chatham",164791,20,20,2019-05-02,"311684","V8","31168419050208",2019-05-02,"SILVER HAKE"
112,"974944","MA","Chatham",564145,180,409,2019-05-02,"311684","V8","31168419050208",2019-05-02,"WINTER SKATE"
112,"974944","MA","Chatham",169182,100,100,2019-05-02,"311684","V8","31168419050208",2019-05-02,"SCUP"
112,"974944","MA","Chatham",172567,5,5,2019-05-02,"311684","V8","31168419050208",2019-05-02,"BUTTERFISH"
112,"974944","MA","Chatham",172735,35,35,2019-05-02,"311684","V8","31168419050208",2019-05-02,"SUMMER FLOUNDER"
112,"974944","MA","Chatham",82372,10,10,2019-05-02,"311684","V8","31168419050208",2019-05-02,"LONGFIN SQUID"
112,"974944","MA","Chatham",167687,10,10,2019-05-02,"311684","V8","31168419050208",2019-05-02,"BLACK SEA BASS"
112,"974944","MA","Chatham",169182,40,40,2019-05-02,"311684","V8","31168419050208",2019-05-02,"SCUP"
112,"974944","MA","Chatham",172905,75,75,2019-05-02,"311684","V8","31168419050208",2019-05-02,"WINTER FLOUNDER"
112,"974944","MA","Chatham",167687,10,10,2019-05-02,"311684","V8","31168419050208",2019-05-02,"BLACK SEA BASS"
112,"974944","MA","Chatham",564130,7000,7000,2019-05-02,"311684","V8","31168419050208",2019-05-02,"LITTLE SKATE"
112,"974944","MA","Chatham",164712,2,2,2019-05-03,"311684","V8","31168419050308",2019-05-03,"ATLANTIC COD"
112,"974944","MA","Chatham",167687,15,15,2019-05-03,"311684","V8","31168419050308",2019-05-03,"BLACK SEA BASS"
112,"974944","MA","Chatham",169182,120,120,2019-05-03,"311684","V8","31168419050308",2019-05-03,"SCUP"
112,"974944","MA","Chatham",169182,60,60,2019-05-03,"311684","V8","31168419050308",2019-05-03,"SCUP"
112,"974944","MA","Chatham",172735,25,25,2019-05-03,"311684","V8","31168419050308",2019-05-03,"SUMMER FLOUNDER"
112,"974944","MA","Chatham",164730,15,15,2019-05-03,"311684","V8","31168419050308",2019-05-03,"RED HAKE"
112,"974944","MA","Chatham",169182,100,100,2019-05-03,"311684","V8","31168419050308",2019-05-03,"SCUP"
112,"974944","MA","Chatham",167687,20,20,2019-05-03,"311684","V8","31168419050308",2019-05-03,"BLACK SEA BASS"
112,"974944","MA","Chatham",169273,1,1,2019-05-03,"311684","V8","31168419050308",2019-05-03,"WHITING"
112,"974944","MA","Chatham",172735,15,15,2019-05-03,"311684","V8","31168419050308",2019-05-03,"SUMMER FLOUNDER"
112,"974944","MA","Chatham",172567,5,5,2019-05-03,"311684","V8","31168419050308",2019-05-03,"BUTTERFISH"
112,"974944","MA","Chatham",172735,10,10,2019-05-03,"311684","V8","31168419050308",2019-05-03,"SUMMER FLOUNDER"
112,"974944","MA","Chatham",172905,60,60,2019-05-03,"311684","V8","31168419050308",2019-05-03,"WINTER FLOUNDER"
112,"974944","MA","Chatham",172905,180,180,2019-05-03,"311684","V8","31168419050308",2019-05-03,"WINTER FLOUNDER"
112,"974944","MA","Chatham",164791,100,100,2019-05-03,"311684","V8","31168419050308",2019-05-03,"SILVER HAKE"
112,"974944","MA","Chatham",82372,2,2,2019-05-03,"311684","V8","31168419050308",2019-05-03,"LONGFIN SQUID"
112,"974944","MA","Chatham",167687,10,10,2019-05-03,"311684","V8","31168419050308",2019-05-03,"BLACK SEA BASS"
112,"974944","MA","Chatham",564145,80,182,2019-05-03,"311684","V8","31168419050308",2019-05-03,"WINTER SKATE"
112,"974944","MA","Chatham",564130,4500,4500,2019-05-03,"311684","V8","31168419050308",2019-05-03,"LITTLE SKATE"
112,"974944","MA","Chatham",170479,12,12,2019-05-04,"311684","V8","31168419050409",2019-05-04,"TAUTOG"
112,"974944","MA","Chatham",564145,115,261,2019-05-04,"311684","V8","31168419050409",2019-05-04,"WINTER SKATE"
112,"974944","MA","Chatham",172567,1,1,2019-05-04,"311684","V8","31168419050409",2019-05-04,"BUTTERFISH"
112,"974944","MA","Chatham",167687,15,15,2019-05-04,"311684","V8","31168419050409",2019-05-04,"BLACK SEA BASS"
112,"974944","MA","Chatham",164791,60,60,2019-05-04,"311684","V8","31168419050409",2019-05-04,"SILVER HAKE"
112,"974944","MA","Chatham",172905,270,270,2019-05-04,"311684","V8","31168419050409",2019-05-04,"WINTER FLOUNDER"
112,"974944","MA","Chatham",172905,110,110,2019-05-04,"311684","V8","31168419050409",2019-05-04,"WINTER FLOUNDER"
112,"974944","MA","Chatham",169182,35,35,2019-05-04,"311684","V8","31168419050409",2019-05-04,"SCUP"
112,"974944","MA","Chatham",167687,15,15,2019-05-04,"311684","V8","31168419050409",2019-05-04,"BLACK SEA BASS"
112,"974944","MA","Chatham",164730,1,1,2019-05-04,"311684","V8","31168419050409",2019-05-04,"RED HAKE"
112,"974944","MA","Chatham",169182,80,80,2019-05-04,"311684","V8","31168419050409",2019-05-04,"SCUP"
